year_month,rfh,r1q,days_in_month,rfh_avg_per_hari,Datetime,Luas Panen Padi,Produksi Padi,Beras,Potensi Gagal Panen
2021-01,187771.7712415,117.85901005240707,31,6057.153911016129,2021-01,413085.27,2083251.67,1200266.0,23597.54
2021-02,151508.9077707,110.66289346556978,28,5411.032420382143,2021-02,772897.06,4056990.92,2336619.6,31626.06
2021-03,158540.740725,102.60261166483852,31,5114.217442741936,2021-03,1785269.41,9671598.42,5570088.32,23067.82
2021-04,117116.6717877,101.49882366666667,30,3903.88905959,2021-04,1460711.07,7771058.36,4475679.84,14883.98
2021-05,126709.4888985,92.29328731322364,31,4087.402867693548,2021-05,784039.38,3949995.17,2277012.62,25933.33
2021-06,101544.1645192,104.95818770018282,30,3384.805483973333,2021-06,797480.29,4035004.3,2326003.82,23312.66
2021-07,84321.9832569,131.94054388787325,31,2720.0639760290323,2021-07,1073984.92,5510292.14,3175452.28,24036.33
2021-08,120052.322610963,142.7621808622791,31,3872.6555680955807,2021-08,850102.84,4164373.97,2401821.68,18863.59
2021-09,135164.4002278,192.38170536989642,30,4505.4800075933335,2021-09,831861.8,4274912.1,2464450.47,17071.85
2021-10,118528.9058395,134.74328086715417,31,3823.5130915967743,2021-10,745823.33,3993606.17,2302017.89,10524.74
2021-11,189455.645833,146.5281975399147,30,6315.188194433333,2021-11,522988.41,2867110.74,1652625.11,5895.55
2021-12,182166.944534,114.65480050152347,31,5876.3530494838715,2021-12,373557.44,2037100.26,1173979.47,10566.03
2022-01,144238.7684775,103.17630258805607,31,4652.863499274194,2022-01,468300.36,2459883.42,1416643.26,19387.74
2022-02,146067.528688,100.06142240828763,28,5216.697453142857,2022-02,767104.13,4083229.06,2350249.8,12929.98
2022-03,156387.6314115,114.11666268616698,31,5044.7623035967745,2022-03,1759226.83,9537194.13,5492153.39,12680.3
2022-04,130244.6381,92.96538552163315,30,4341.487936666666,2022-04,1419383.25,7736002.24,4454910.86,10483.72
2022-05,142719.4057081,118.16789411151737,31,4603.851797035484,2022-05,829722.48,4132245.07,2383003.02,17341.28
2022-06,134285.9172779,147.92412735709934,30,4476.197242596667,2022-06,870112.2,4357513.16,2510392.28,9231.76
2022-07,113214.3537289,155.12886992809263,31,3652.0759267387093,2022-07,926119.36,4706419.93,2710682.44,11934.51
2022-08,120766.216889203,162.49802934430227,31,3895.684415780742,2022-08,812912.95,4080204.6,2350981.49,10208.98
2022-09,131130.1637457,207.255674928702,30,4371.00545819,2022-09,841119.15,4338405.08,2500041.43,9888.57
2022-10,189337.318139,211.62741936014623,31,6107.65542383871,2022-10,789551.27,4133439.61,2383082.52,10479.73
2022-11,203555.4426365,165.61765144667885,30,6785.181421216666,2022-11,606267.86,3254106.43,1876081.47,13396.83
2022-12,165273.6942555,109.08596072090188,31,5331.4094921129035,2022-12,362852.04,1930334.35,1112299.81,10263.65
2023-01,159153.954437,100.2302674216941,31,5133.9985302258065,2023-01,447713.81,2328608.76,1340906.11,19387.74
2023-02,161435.863399,116.18308454966484,28,5765.5665499642855,2023-02,940134.52,4949750.92,2849262.05,12929.98
2023-03,146577.9906567,106.15961494271785,31,4728.3222792483875,2023-03,1648840.07,8916267.05,5134805.81,12680.3
2023-04,137545.0091755,104.7463836301036,30,4584.833639183333,2023-04,1174528.52,6351759.64,3659441.87,10483.72
2023-05,108134.4477945,97.14276269591713,31,3488.2079933709674,2023-05,972737.94,4962529.14,2860579.67,17341.28
2023-06,86309.5752353,83.67566004265692,30,2876.985841176667,2023-06,950014.02,4838112.69,2786596.67,9231.76
2023-07,76557.2479249,113.34423397928092,31,2469.58864273871,2023-07,827874.97,4310177.04,2482904.55,11934.51
2023-08,59646.815436823,76.41135980438756,31,1924.0908205426774,2023-08,861693.05,4380255.55,2523941.99,10208.98
2023-09,47636.80885191,66.24460834430226,30,1587.893628397,2023-09,837421.5,4365421.64,2516528.69,9888.57
2023-10,58074.5579361,48.92146966185253,31,1873.372836648387,2023-10,703055.96,3804113.78,2194501.58,10479.73
2023-11,120987.7048003,67.9975221340646,30,4032.923493343333,2023-11,497502.82,2802377.64,1615447.39,13396.83
2023-12,129954.6548785,86.46722205606338,31,4192.085641241935,2023-12,352187.99,1971619.34,1136368.72,10263.65
2024-01,164855.5630045,99.42609206398538,31,5317.921387241936,2024-01,293506.92,1516039.96,874265.54,22434.67
2024-02,132323.4685618,97.30663219073735,29,4562.878226268966,2024-02,462808.69,2409079.63,1387718.31,9491.69
2024-03,147729.2947086,105.56370736075564,31,4765.4611196322585,2024-03,1106863.94,5955666.8,3431330.85,11437.09
2024-04,165447.2585402,108.51540637050579,30,5514.908618006667,2024-04,1707514.75,9340067.77,5377774.03,8104.99
2024-05,123143.3181813,107.00084273522243,31,3972.3651026225807,2024-05,1260333.35,6443243.14,3711305.92,10538.58
2024-06,112577.4089612,110.40661048202315,30,3752.5802987066663,2024-06,723213.11,3636612.24,2096450.87,12118.14
2024-07,69535.0972689,115.57099686532602,31,2243.067653835484,2024-07,704778.23,3560388.25,2052439.63,19532.93
2024-08,84105.651881723,89.19308555210239,31,2713.0855445717093,2024-08,1019071.35,5118895.23,2950964.22,24492.36
2024-09,76371.1292814,107.44255493967094,30,2545.7043093800003,2024-09,1029961.78,5488911.33,3162083.33,40029.88
2024-10,95373.8869954,103.0514828622791,31,3076.576999851613,2024-10,825534.97,4558484.93,2627790.2,31319.75
2024-11,177432.2084715,108.49483048933577,30,5914.40694905,2024-11,551718.82,3116578.33,1797130.18,13920.76
2024-12,192416.182281,122.7672174369287,31,6206.973621967742,2024-12,360829.46,1998759.04,1151995.64,5657.29
